Provinsi,Kabupaten/Kota,Kecamatan,Nama,Kategori,Latitude,Longitude,Alamat,Link
DKI JAKARTA,KOTA JAKARTA BARAT,Kembangan,INFORMA - LIVING PLAZA PX PURI,Millwork shop,-6.181793,106.7434117,"Puri Harum No.2 3, RT.3/RW.2, SELATAN, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610","https://www.google.com/maps/place/INFORMA+-+LIVING+PLAZA+PX+PURI/@-6.181793,106.7434117,14z/data=!4m10!1m2!2m1!1sINFORMA+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f712246658db:0x72a97ad881fa6185!8m2!3d-6.1886!4d106.7379572!15sChpJTkZPUk1BIEtPVEEgSkFLQVJUQSBCQVJBVFocIhppbmZvcm1hIGtvdGEgamFrYXJ0YSBiYXJhdJIBDW1pbGx3b3JrX3Nob3CqAV4KDC9nLzExaDBsdGQxZhABKgsiB2luZm9ybWEoADIfEAEiGwF-b7yPgkLe1BdyIxww3e4NIlGL4R43kpEcPzIeEAIiGmluZm9ybWEga290YSBqYWthcnRhIGJhcmF04AEA!16s%2Fg%2F11h0ltd1f?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Grogol petamburan,INFORMA NEO SOHO,Millwork shop,-6.1886,106.6998484,"Neo Soho Mall, Jl. Letjen S. Parman No.Kav 28, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470","https://www.google.com/maps/place/INFORMA+NEO+SOHO/@-6.1886,106.6998484,14z/data=!4m10!1m2!2m1!1sINFORMA+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f7f899a0fcf3:0x9ee3238c8d2e64c0!8m2!3d-6.1749426!4d106.7900152!15sChpJTkZPUk1BIEtPVEEgSkFLQVJUQSBCQVJBVFocIhppbmZvcm1hIGtvdGEgamFrYXJ0YSBiYXJhdJIBDW1pbGx3b3JrX3Nob3CqAV4KDC9nLzExaDBsdGQxZhABKgsiB2luZm9ybWEoADIfEAEiGwF-b7yPgkLe1BdyIxww3e4NIlGL4R43kpEcPzIeEAIiGmluZm9ybWEga290YSBqYWthcnRhIGJhcmF04AEA!16s%2Fg%2F1q6d365y4?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Unknown,INFORMA ELECTRONIK LIVING PLAZA PURI,Electronics store,-6.1888094,106.6999018,"Informa Living Plaza Puri, Jl. Puri Indah Raya Boulevard block UI, Daerah Khusus Ibukota Jakarta 11610","https://www.google.com/maps/place/INFORMA+ELECTRONIK+LIVING+PLAZA+PURI/@-6.1888094,106.6999018,14z/data=!4m10!1m2!2m1!1sINFORMA+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f7bbab7e2b8b:0x90c0b49df8c87bec!8m2!3d-6.1888094!4d106.7380106!15sChpJTkZPUk1BIEtPVEEgSkFLQVJUQSBCQVJBVFocIhppbmZvcm1hIGtvdGEgamFrYXJ0YSBiYXJhdJIBEWVsZWN0cm9uaWNzX3N0b3JlqgFeCgwvZy8xMWgwbHRkMWYQASoLIgdpbmZvcm1hKAAyHxABIhsBfm-8j4JC3tQXciMcMN3uDSJRi-EeN5KRHD8yHhACIhppbmZvcm1hIGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F11vdcnfn13?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Unknown,INFORMA ELEKTRONIK NEO SOHO,Electronics store,-6.1888094,106.6999018,"Letjen S. Parman St S.Parman No.Kav 28, South Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11470","https://www.google.com/maps/place/INFORMA+ELEKTRONIK+NEO+SOHO/@-6.1888094,106.6999018,14z/data=!4m10!1m2!2m1!1sINFORMA+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f73efcb913bf:0x9dbd0ff9e25cd37e!8m2!3d-6.1747774!4d106.7900654!15sChpJTkZPUk1BIEtPVEEgSkFLQVJUQSBCQVJBVFocIhppbmZvcm1hIGtvdGEgamFrYXJ0YSBiYXJhdJIBEWVsZWN0cm9uaWNzX3N0b3JlqgFeCgwvZy8xMWgwbHRkMWYQASoLIgdpbmZvcm1hKAAyHxABIhsBfm-8j4JC3tQXciMcMN3uDSJRi-EeN5KRHD8yHhACIhppbmZvcm1hIGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F11sw0jy8nj?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA UTARA,Penjaringan,INFORMA - EMPORIUM PLUIT,Furniture accessories supplier,-6.1273144,106.6388183,"EMPORIUM PLUIT MALL, Jl. Pluit Selatan Raya No.1 lt. LG, Penjaringan, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440","https://www.google.com/maps/place/INFORMA+-+EMPORIUM+PLUIT/@-6.1273144,106.6388183,12z/data=!4m10!1m2!2m1!1sINFORMA+KOTA+JAKARTA+UTARA!3m6!1s0x2e6a1da85af02c85:0x489a7cb5171b5296!8m2!3d-6.1273144!4d106.7912536!15sChpJTkZPUk1BIEtPVEEgSkFLQVJUQSBVVEFSQVocIhppbmZvcm1hIGtvdGEgamFrYXJ0YSB1dGFyYZIBHmZ1cm5pdHVyZV9hY2Nlc3Nvcmllc19zdXBwbGllcqoBUBABKgsiB2luZm9ybWEoADIfEAEiGwF-b7yQ6jcDC3FkvuYk1Lx1S6xWrma3X5iRITIeEAIiGmluZm9ybWEga290YSBqYWthcnRhIHV0YXJh4AEA!16s%2Fg%2F11srl0lvjz?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA UTARA,Unknown,INFORMA Mall Artha Gading,Furniture store,-6.1273144,106.6388183,"Mall Artha Gading, Jl. Boulevard Artha Lt. 2, RT.18/RW.8, West Kelapa Gading, Gading Selatan, North Jakarta City, Jakarta 14240","https://www.google.com/maps/place/INFORMA+Mall+Artha+Gading/@-6.1273144,106.6388183,12z/data=!3m1!5s0x2e69f5431cec6cef:0x9b6cffb5df48dd5!4m10!1m2!2m1!1sINFORMA+KOTA+JAKARTA+UTARA!3m6!1s0x2e69f514a0368e4b:0x73465ecc955d3c12!8m2!3d-6.146028!4d106.8916874!15sChpJTkZPUk1BIEtPVEEgSkFLQVJUQSBVVEFSQVocIhppbmZvcm1hIGtvdGEgamFrYXJ0YSB1dGFyYZIBD2Z1cm5pdHVyZV9zdG9yZaoBUBABKgsiB2luZm9ybWEoADIfEAEiGwF-b7yQ6jcDC3FkvuYk1Lx1S6xWrma3X5iRITIeEAIiGmluZm9ybWEga290YSBqYWthcnRhIHV0YXJh4AEA!16s%2Fg%2F1hc3jvcvh?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA UTARA,Klp Gading,INFORMA Electronics - Mal Artha Gading,Electronics store,-6.1273144,106.6388183,"Mall Artha Gading, Jl. Boulevard Artha Gading lantai 2, RT.18/RW.8, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240","https://www.google.com/maps/place/INFORMA+Electronics+-+Mal+Artha+Gading/@-6.1273144,106.6388183,12z/data=!4m10!1m2!2m1!1sINFORMA+KOTA+JAKARTA+UTARA!3m6!1s0x2e69f5b36c5f00c9:0x6bbbb27b434f7778!8m2!3d-6.1466171!4d106.8920937!15sChpJTkZPUk1BIEtPVEEgSkFLQVJUQSBVVEFSQVocIhppbmZvcm1hIGtvdGEgamFrYXJ0YSB1dGFyYZIBEWVsZWN0cm9uaWNzX3N0b3JlqgFQEAEqCyIHaW5mb3JtYSgAMh8QASIbAX5vvJDqNwMLcWS-5iTUvHVLrFauZrdfmJEhMh4QAiIaaW5mb3JtYSBrb3RhIGpha2FydGEgdXRhcmHgAQA!16s%2Fg%2F11nx16d0td?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA UTARA,Unknown,Informa Custom Furniture Jakarta Utara,Customs consultant,-6.1273144,106.6388183,"Jl. Artha Gading Sel. No.1 18, RT.18/RW.8, Klp. Gading Bar., Jakarta, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240","https://www.google.com/maps/place/Informa+Custom+Furniture+Jakarta+Utara/@-6.1273144,106.6388183,12z/data=!4m10!1m2!2m1!1sINFORMA+KOTA+JAKARTA+UTARA!3m6!1s0x2e69f5635dd328ff:0x1475419088ab91ec!8m2!3d-6.1456352!4d106.8921655!15sChpJTkZPUk1BIEtPVEEgSkFLQVJUQSBVVEFSQZIBEmN1c3RvbXNfY29uc3VsdGFudKoBbwoIL20vMDFuMzIKCC9tLzA0NHJ2CgkvbS8wN19kZzgQASoLIgdpbmZvcm1hKAAyHxABIhsBfm-8kOo3AwtxZL7mJNS8dUusVq5mt1-YkSEyHhACIhppbmZvcm1hIGtvdGEgamFrYXJ0YSB1dGFyYeABAA!16s%2Fg%2F11j9ljb7sw?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Kembangan,Dekoruma.com Head Office - Furnitur Online - Jasa Desain Interior & Kitchen Set,Furniture store,-6.317592,106.7868785,"Jl. Srengseng Raya No.11A, RT.5/RW.1, Srengseng, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11630","https://www.google.com/maps/place/Dekoruma.com+Head+Office+-+Furnitur+Online+-+Jasa+Desain+Interior+%26+Kitchen+Set/@-6.317592,106.7868785,14z/data=!4m9!1m2!2m1!1sINFORMA+KOTA+JAKARTA+BARAT!3m5!1s0x2e69f71b7c2e7061:0xa77f5cd6e11f413a!8m2!3d-6.201933!4d106.7564985!16s%2Fg%2F11bxf9cxq5?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Kembangan,INFORMA - LIVING PLAZA PX PURI,Millwork shop,-6.317592,106.7868785,"Puri Harum No.2 3, RT.3/RW.2, SELATAN, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610","https://www.google.com/maps/place/INFORMA+-+LIVING+PLAZA+PX+PURI/@-6.317592,106.7868785,14z/data=!4m10!1m2!2m1!1sINFORMA+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f712246658db:0x72a97ad881fa6185!8m2!3d-6.1886!4d106.7379572!15sChpJTkZPUk1BIEtPVEEgSkFLQVJUQSBCQVJBVFocIhppbmZvcm1hIGtvdGEgamFrYXJ0YSBiYXJhdJIBDW1pbGx3b3JrX3Nob3CqAV4KDC9nLzExaDBsdGQxZhABKgsiB2luZm9ybWEoADIfEAEiGwF-b7yPgkLe1BdyIxww3e4NIlGL4R43kpEcPzIeEAIiGmluZm9ybWEga290YSBqYWthcnRhIGJhcmF04AEA!16s%2Fg%2F11h0ltd1f?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
