Provinsi,Kabupaten/Kota,Kecamatan,Nama,Kategori,Latitude,Longitude,Alamat,Link
DKI JAKARTA,KOTA JAKARTA BARAT,Unknown,Miniso Land Central Park,Store,-6.1167204,106.6375066,"Central Park, Letjen S. Parman St No.28 LG-300A, RT.12/RW.1, South Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11470","https://www.google.com/maps/place/Miniso+Land+Central+Park/@-6.1167204,106.6375066,12z/data=!3m1!5s0x2e69f65f7d4dbbd1:0xa8d96911a7caf954!4m10!1m2!2m1!1sMINISO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f6f56bb9a75b:0x113c73ab1389685b!8m2!3d-6.1769503!4d106.7910479!15sChlNSU5JU08gS09UQSBKQUtBUlRBIEJBUkFUWhsiGW1pbmlzbyBrb3RhIGpha2FydGEgYmFyYXSSAQVzdG9yZaoBThABKgoiBm1pbmlzbygAMh8QASIbD0-c154u6nn_dMkOkDMaMOXFKUbVdZyN-fOvMh0QAiIZbWluaXNvIGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F11d_d57g8g?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Grogol petamburan,MINISO - NEO SOHO,Shopping mall,-6.1167204,106.6375066,"15, RT.15/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470","https://www.google.com/maps/place/MINISO+-+NEO+SOHO/@-6.1167204,106.6375066,12z/data=!3m1!5s0x2e69f65f3f899cb3:0x38fe444e117f084!4m10!1m2!2m1!1sMINISO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f65f1945aac5:0x647ab38ce14b6f41!8m2!3d-6.1753113!4d106.7901646!15sChlNSU5JU08gS09UQSBKQUtBUlRBIEJBUkFUkgEPc2hvcHBpbmdfY2VudGVyqgFOEAEqCiIGbWluaXNvKAAyHxABIhsPT5zXni7qef90yQ6QMxow5cUpRtV1nI35868yHRACIhltaW5pc28ga290YSBqYWthcnRhIGJhcmF04AEA!16s%2Fg%2F11gf8hvh8m?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Unknown,Miniso,Department store,-6.1167204,106.6375066,"Jl. Puri Agung 132, RT.1/RW.2, South Kembangan, Kembangan, West Jakarta City, Jakarta 11610","https://www.google.com/maps/place/Miniso/@-6.1167204,106.6375066,12z/data=!3m1!5s0x2e69f77a95f12101:0x2dc0ed0f9d333090!4m10!1m2!2m1!1sMINISO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f70478e1b85d:0x19c73531024ba1e7!8m2!3d-6.1882425!4d106.7334451!15sChlNSU5JU08gS09UQSBKQUtBUlRBIEJBUkFUkgEQZGVwYXJ0bWVudF9zdG9yZaoBThABKgoiBm1pbmlzbygAMh8QASIbD0-c154u6nn_dMkOkDMaMOXFKUbVdZyN-fOvMh0QAiIZbWluaXNvIGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F11ghf7pcxh?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Unknown,Miniso Hub Life,Gift shop,-6.1167204,106.6375066,"RQHQ+6MQ, Letjen S. Parman St, RT.3/RW.8, Tomang, Grogol petamburan, West Jakarta City, Jakarta","https://www.google.com/maps/place/Miniso+Hub+Life/@-6.1167204,106.6375066,12z/data=!4m10!1m2!2m1!1sMINISO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f7006d0c9167:0x3e612fd76f02ca93!8m2!3d-6.1719051!4d106.7892374!15sChlNSU5JU08gS09UQSBKQUtBUlRBIEJBUkFUkgEJZ2lmdF9zaG9wqgFOEAEqCiIGbWluaXNvKAAyHxABIhsPT5zXni7qef90yQ6QMxow5cUpRtV1nI35868yHRACIhltaW5pc28ga290YSBqYWthcnRhIGJhcmF04AEA!16s%2Fg%2F11yb9wyb6y?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Kembangan,Miniso,Variety store,-6.1167204,106.6375066,"Lippo Mall Puri, Jl. Puri Indah Raya No.26 Lantai UG, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610","https://www.google.com/maps/place/Miniso/@-6.1167204,106.6375066,12z/data=!3m1!5s0x2e69f771da240dc7:0x3333a570d97d6a70!4m10!1m2!2m1!1sMINISO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f771d0172c49:0x3f77ff487f4f7a57!8m2!3d-6.189192!4d106.7390736!15sChlNSU5JU08gS09UQSBKQUtBUlRBIEJBUkFUkgENdmFyaWV0eV9zdG9yZaoBThABKgoiBm1pbmlzbygAMh8QASIbD0-c154u6nn_dMkOkDMaMOXFKUbVdZyN-fOvMh0QAiIZbWluaXNvIGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F11dxc0_4pg?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Kembangan,Miniso Puri Indah mall,Store,-6.1167204,106.6375066,"Jl. Puri Agung No.1, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610","https://www.google.com/maps/place/Miniso+Puri+Indah+mall/@-6.1167204,106.6375066,12z/data=!4m10!1m2!2m1!1sMINISO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f70ab5d272a5:0x5dda599411efc20b!8m2!3d-6.1887066!4d106.7331387!15sChlNSU5JU08gS09UQSBKQUtBUlRBIEJBUkFUkgEFc3RvcmWqAU4QASoKIgZtaW5pc28oADIfEAEiGw9PnNeeLup5_3TJDpAzGjDlxSlG1XWcjfnzrzIdEAIiGW1pbmlzbyBrb3RhIGpha2FydGEgYmFyYXTgAQA!16s%2Fg%2F11ww7138ws?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Cinere,MINISO - Cinere Bellevue,Variety store,-6.317219,106.6298173,"Jl. Merawan No.23, Pangkalan Jati, Kec. Cinere, Kota Depok, Jawa Barat 16514","https://www.google.com/maps/place/MINISO+-+Cinere+Bellevue/@-6.317219,106.6298173,12z/data=!4m10!1m2!2m1!1sMINISO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69ef9b2a555ea1:0xa5eb52e422aafc70!8m2!3d-6.317219!4d106.7822526!15sChlNSU5JU08gS09UQSBKQUtBUlRBIEJBUkFUkgENdmFyaWV0eV9zdG9yZaoBThABKgoiBm1pbmlzbygAMh8QASIbD0-c154u6nn_dMkOkDMaMOXFKUbVdZyN-fOvMh0QAiIZbWluaXNvIGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F11h6g42rn5?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Unknown,Miniso,Convenience store,-6.1683253,106.6342308,"Letjen S. Parman St Jl. Arteri No.4c, RT.11/RW.1, North Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11520","https://www.google.com/maps/place/Miniso/@-6.1683253,106.6342308,12z/data=!4m10!1m2!2m1!1sMINISO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f75d59c37211:0xe3e9964834eef280!8m2!3d-6.1683253!4d106.7866661!15sChlNSU5JU08gS09UQSBKQUtBUlRBIEJBUkFUkgERY29udmVuaWVuY2Vfc3RvcmWqAU4QASoKIgZtaW5pc28oADIfEAEiGw9PnNeeLup5_3TJDpAzGjDlxSlG1XWcjfnzrzIdEAIiGW1pbmlzbyBrb3RhIGpha2FydGEgYmFyYXTgAQA!16s%2Fg%2F11nckzvpm1?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Grogol petamburan,Miniso Hublife,Shopping mall,-6.1683253,106.6342308,"Jl. Tanjung Duren Raya No.2, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470","https://www.google.com/maps/place/Miniso+Hublife/@-6.1683253,106.6342308,12z/data=!4m10!1m2!2m1!1sMINISO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f74b0237d02f:0x7b1b8f31f23109f0!8m2!3d-6.1801456!4d106.7923512!15sChlNSU5JU08gS09UQSBKQUtBUlRBIEJBUkFUkgEPc2hvcHBpbmdfY2VudGVyqgFOEAEqCiIGbWluaXNvKAAyHxABIhsPT5zXni7qef90yQ6QMxow5cUpRtV1nI35868yHRACIhltaW5pc28ga290YSBqYWthcnRhIGJhcmF04AEA!16s%2Fg%2F11yb397339?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Palmerah,MINISO PLAZA SLIPI JAYA,Hotel supply store,-6.1683253,106.6342308,"Plaza Slipi Jaya, Jl. Letjen S. Parman, RT.12/RW.1, Kemanggisan, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480","https://www.google.com/maps/place/MINISO+PLAZA+SLIPI+JAYA/@-6.1683253,106.6342308,12z/data=!4m10!1m2!2m1!1sMINISO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f78b91778729:0x7d26fa950cd048b5!8m2!3d-6.1892579!4d106.7965224!15sChlNSU5JU08gS09UQSBKQUtBUlRBIEJBUkFUkgESaG90ZWxfc3VwcGx5X3N0b3JlqgFOEAEqCiIGbWluaXNvKAAyHxABIhsPT5zXni7qef90yQ6QMxow5cUpRtV1nI35868yHRACIhltaW5pc28ga290YSBqYWthcnRhIGJhcmF04AEA!16s%2Fg%2F11h7_nrl_g?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
