Provinsi,Kabupaten/Kota,Kecamatan,Nama,Kategori,Latitude,Longitude,Alamat,Link
DKI JAKARTA,KOTA JAKARTA BARAT,Unknown,MR.DIY,Home improvement store,-6.1518298,106.7399215,"No. 19 - 22A, Ciputra Mall (Citraland) Lt. 5, Jl. Arteri S.Parman, RT.11/RW.1, Grogol, Jakarta, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470","https://www.google.com/maps/place/MR.DIY/@-6.1518298,106.7399215,13z/data=!4m10!1m2!2m1!1sMR.DIY+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f791a511c309:0x74870825c991438f!8m2!3d-6.1685866!4d106.7868114!15sChlNUi5ESVkgS09UQSBKQUtBUlRBIEJBUkFUWhsiGW1yIGRpeSBrb3RhIGpha2FydGEgYmFyYXSSARZob21lX2ltcHJvdmVtZW50X3N0b3JlqgFOEAEqCiIGbXIgZGl5KAAyHxABIhsCGWhqk-VdIvdWxqgDRFxnhkqCiuqLBXHRgMMyHRACIhltciBkaXkga290YSBqYWthcnRhIGJhcmF04AEA!16s%2Fg%2F11gjwj05d4?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Kembangan,MR.DIY,Home improvement store,-6.19795,106.6608453,"Jl. Meruya Utara No.43, RT.18/RW.4, Meruya Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620","https://www.google.com/maps/place/MR.DIY/@-6.19795,106.6608453,13z/data=!4m10!1m2!2m1!1sMR.DIY+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f734485dca87:0xaeb90d67ff9c4e24!8m2!3d-6.19795!4d106.737063!15sChlNUi5ESVkgS09UQSBKQUtBUlRBIEJBUkFUkgEWaG9tZV9pbXByb3ZlbWVudF9zdG9yZaoBThABKgoiBm1yIGRpeSgAMh8QASIbAhloapPlXSL3VsaoA0RcZ4ZKgorqiwVx0YDDMh0QAiIZbXIgZGl5IGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F11y6f4x41z?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Unknown,MR.DIY,Home improvement store,-6.19795,106.6608453,"Lippo Mall Puri Lt. 2, Unit No.39, Jl. Puri Indah Raya No.52 Blok U 1, RT.3/RW.2, Kembangan Sel., Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610","https://www.google.com/maps/place/MR.DIY/@-6.19795,106.6608453,13z/data=!4m10!1m2!2m1!1sMR.DIY+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f70f770c1d39:0xcc2f7788328836ab!8m2!3d-6.1902465!4d106.7390776!15sChlNUi5ESVkgS09UQSBKQUtBUlRBIEJBUkFUkgEWaG9tZV9pbXByb3ZlbWVudF9zdG9yZaoBThABKgoiBm1yIGRpeSgAMh8QASIbAhloapPlXSL3VsaoA0RcZ4ZKgorqiwVx0YDDMh0QAiIZbXIgZGl5IGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F11h2c2s006?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Cinere,MR.DIY,Home improvement store,-6.3246829,106.7077666,"Mal Cinere Depok, Jl. Cinere Raya No.3, Pangkalan Jati, Kec. Cinere, Kota Depok, Jawa Barat 16514","https://www.google.com/maps/place/MR.DIY/@-6.3246829,106.7077666,13z/data=!4m10!1m2!2m1!1sMR.DIY+KOTA+JAKARTA+BARAT!3m6!1s0x2e69ef64fab42caf:0xaa03a3afc8ba58b3!8m2!3d-6.3246829!4d106.7839843!15sChlNUi5ESVkgS09UQSBKQUtBUlRBIEJBUkFUWhsiGW1yIGRpeSBrb3RhIGpha2FydGEgYmFyYXSSARZob21lX2ltcHJvdmVtZW50X3N0b3JlqgFOEAEqCiIGbXIgZGl5KAAyHxABIhsCGWhqk-VdIvdWxqgDRFxnhkqCiuqLBXHRgMMyHRACIhltciBkaXkga290YSBqYWthcnRhIGJhcmF04AEA!16s%2Fg%2F11g03w4l9_?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Palmerah,MR.DIY,Home improvement store,-6.3246829,106.7077666,"Slipi Jaya Plaza Lt.LG A.6-A.7, Jl. Anggrek Neli Murni No.89 RT.12/RW.1 Kemanggisan, RT.12/RW.1, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480","https://www.google.com/maps/place/MR.DIY/@-6.3246829,106.7077666,13z/data=!4m10!1m2!2m1!1sMR.DIY+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f760e5690009:0x75befab855534ccf!8m2!3d-6.189216!4d106.7965923!15sChlNUi5ESVkgS09UQSBKQUtBUlRBIEJBUkFUkgEWaG9tZV9pbXByb3ZlbWVudF9zdG9yZaoBThABKgoiBm1yIGRpeSgAMh8QASIbAhloapPlXSL3VsaoA0RcZ4ZKgorqiwVx0YDDMh0QAiIZbXIgZGl5IGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F11hf8wb3np?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Unknown,MR.DIY,Home improvement store,-6.189216,106.7203746,"Blok A II No, Jl. Komp. Green Ville No.6, Duri Kepa, Kebonjeruk, West Jakarta City, Jakarta 11510","https://www.google.com/maps/place/MR.DIY/@-6.189216,106.7203746,13z/data=!4m10!1m2!2m1!1sMR.DIY+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f713d0db5e0d:0x81d8ab08d0b07d0d!8m2!3d-6.169749!4d106.769884!15sChlNUi5ESVkgS09UQSBKQUtBUlRBIEJBUkFUkgEWaG9tZV9pbXByb3ZlbWVudF9zdG9yZaoBThABKgoiBm1yIGRpeSgAMh8QASIbAhloapPlXSL3VsaoA0RcZ4ZKgorqiwVx0YDDMh0QAiIZbXIgZGl5IGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F11lmjcj520?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Cengkareng,MR.DIY,Home improvement store,-6.189216,106.7203746,"Ciplaz Cengkareng, Jl. Lkr. Luar Barat Lt.2, RT.9/RW.14, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730","https://www.google.com/maps/place/MR.DIY/@-6.189216,106.7203746,13z/data=!4m10!1m2!2m1!1sMR.DIY+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f732d63004b5:0xf770bb7f937094b!8m2!3d-6.1531895!4d106.7284216!15sChlNUi5ESVkgS09UQSBKQUtBUlRBIEJBUkFUkgEWaG9tZV9pbXByb3ZlbWVudF9zdG9yZaoBThABKgoiBm1yIGRpeSgAMh8QASIbAhloapPlXSL3VsaoA0RcZ4ZKgorqiwVx0YDDMh0QAiIZbXIgZGl5IGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F11j7vhlqss?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Kalideres,MR.DIY,Shopping mall,-6.1531895,106.6522039,"Mall Matahari, Jl. Daan Mogot No.Km 16, RT.8/RW.5, Kalideres, Kec. Kalideres, Jakarta, Daerah Khusus Ibukota Jakarta 11840","https://www.google.com/maps/place/MR.DIY/@-6.1531895,106.6522039,13z/data=!4m10!1m2!2m1!1sMR.DIY+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f92afdfd3791:0x532bb607419ab141!8m2!3d-6.1513402!4d106.7143532!15sChlNUi5ESVkgS09UQSBKQUtBUlRBIEJBUkFUkgEPc2hvcHBpbmdfY2VudGVyqgFOEAEqCiIGbXIgZGl5KAAyHxABIhsCGWhqk-VdIvdWxqgDRFxnhkqCiuqLBXHRgMMyHRACIhltciBkaXkga290YSBqYWthcnRhIGJhcmF04AEA!16s%2Fg%2F11vb8rk2lw?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Unknown,MR.DIY,Home improvement store,-6.1531895,106.6522039,"Green Sedayu Mall Lt. GF Unit 12 A, Jl. Taman Palem Lestari No.2 Blok B17, RW.13, Cengkareng Bar., Jakarta, Daerah Khusus Ibukota Jakarta 11730","https://www.google.com/maps/place/MR.DIY/@-6.1531895,106.6522039,13z/data=!4m10!1m2!2m1!1sMR.DIY+KOTA+JAKARTA+BARAT!3m6!1s0x2e6a1df93ae67a3d:0xa3886f60ef34e6f0!8m2!3d-6.139195!4d106.7286352!15sChlNUi5ESVkgS09UQSBKQUtBUlRBIEJBUkFUkgEWaG9tZV9pbXByb3ZlbWVudF9zdG9yZaoBThABKgoiBm1yIGRpeSgAMh8QASIbAhloapPlXSL3VsaoA0RcZ4ZKgorqiwVx0YDDMh0QAiIZbXIgZGl5IGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F11qrpb9ydg?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Gambir,MR.DIY,Home improvement store,-6.1531895,106.6522039,"Gajah Mada Plaza Lt.3A 00A-00C, 01-07, 51-58, Jl. Gajah Mada No.19-26, RT.2/RW.1, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130","https://www.google.com/maps/place/MR.DIY/@-6.1531895,106.6522039,13z/data=!4m10!1m2!2m1!1sMR.DIY+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f54435aa4517:0x15d10a240d8ea3b0!8m2!3d-6.16084!4d106.8180221!15sChlNUi5ESVkgS09UQSBKQUtBUlRBIEJBUkFUkgEWaG9tZV9pbXByb3ZlbWVudF9zdG9yZaoBThABKgoiBm1yIGRpeSgAMh8QASIbAhloapPlXSL3VsaoA0RcZ4ZKgorqiwVx0YDDMh0QAiIZbXIgZGl5IGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F11g_zfc73x?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
