Provinsi,Kabupaten/Kota,Kecamatan,Nama,Kategori,Latitude,Longitude,Alamat,Link
DKI JAKARTA,KOTA JAKARTA BARAT,Unknown,NICESO Meruya,Hotel supply store,-6.1091178,106.58755,"Jl. Meruya Utara No.18 64, RT.18/RW.4, North Meruya, Kembangan, West Jakarta City, Jakarta 11620","https://www.google.com/maps/place/NICESO+Meruya/@-6.1091178,106.58755,12z/data=!4m10!1m2!2m1!1sNICESO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f74ecbcbd4ef:0x76d3f5ca73aead1a!8m2!3d-6.1986513!4d106.7390395!15sChlOSUNFU08gS09UQSBKQUtBUlRBIEJBUkFUWhsiGW5pY2VzbyBrb3RhIGpha2FydGEgYmFyYXSSARJob3RlbF9zdXBwbHlfc3RvcmWqAU4QASoKIgZuaWNlc28oADIfEAEiGzEPycSFcwRVZOas2wLsSj-GFRolR0K6vjacfDIdEAIiGW5pY2VzbyBrb3RhIGpha2FydGEgYmFyYXTgAQA!16s%2Fg%2F11tb08qr39?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Kalideres,NICESO BAMBU LARANGAN,Convenience store,-6.1091178,106.58755,"Jl. Bambu Larangan No.78 1, RT.1/RW.17, Pegadungan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830","https://www.google.com/maps/place/NICESO+BAMBU+LARANGAN/@-6.1091178,106.58755,12z/data=!4m10!1m2!2m1!1sNICESO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f80751ef2fd9:0xc7bb1b2cbe791b79!8m2!3d-6.1397353!4d106.7171583!15sChlOSUNFU08gS09UQSBKQUtBUlRBIEJBUkFUkgERY29udmVuaWVuY2Vfc3RvcmWqAU4QASoKIgZuaWNlc28oADIfEAEiGzEPycSFcwRVZOas2wLsSj-GFRolR0K6vjacfDIdEAIiGW5pY2VzbyBrb3RhIGpha2FydGEgYmFyYXTgAQA!16s%2Fg%2F11kzclwwp3?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Unknown,Niceso Tegal Alur,Convenience store,-6.1091178,106.58755,"RT.3/RW.6, Tegal Alur, Kalideres, West Jakarta City, Jakarta 11820","https://www.google.com/maps/place/Niceso+Tegal+Alur/@-6.1091178,106.58755,12z/data=!4m10!1m2!2m1!1sNICESO+KOTA+JAKARTA+BARAT!3m6!1s0x2e6a037b683830f1:0xbc782c88ab3b3689!8m2!3d-6.124258!4d106.7227769!15sChlOSUNFU08gS09UQSBKQUtBUlRBIEJBUkFUWhsiGW5pY2VzbyBrb3RhIGpha2FydGEgYmFyYXSSARFjb252ZW5pZW5jZV9zdG9yZaoBThABKgoiBm5pY2VzbygAMh8QASIbMQ_JxIVzBFVk5qzbAuxKP4YVGiVHQrq-Npx8Mh0QAiIZbmljZXNvIGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F11j006r3r0?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Tambora,NICESO TAMBORA JEMBATAN LIMA,Home goods store,-6.1091178,106.58755,"Jl. KH.Moh.Mansyur No.102, RW.1, Tambora, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11250","https://www.google.com/maps/place/NICESO+TAMBORA+JEMBATAN+LIMA/@-6.1091178,106.58755,12z/data=!4m10!1m2!2m1!1sNICESO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f741243afa37:0xef4d20a23777fd66!8m2!3d-6.1464894!4d106.8072347!15sChlOSUNFU08gS09UQSBKQUtBUlRBIEJBUkFUWhsiGW5pY2VzbyBrb3RhIGpha2FydGEgYmFyYXSSARBob21lX2dvb2RzX3N0b3JlqgFOEAEqCiIGbmljZXNvKAAyHxABIhsxD8nEhXMEVWTmrNsC7Eo_hhUaJUdCur42nHwyHRACIhluaWNlc28ga290YSBqYWthcnRhIGJhcmF04AEA!16s%2Fg%2F11tnxs_yf7?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Palmerah,NICESO Rawa Belong,Store,-6.1091178,106.58755,"Jl. Rw. Belong No.14 3, RT.3/RW.15, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480","https://www.google.com/maps/place/NICESO+Rawa+Belong/@-6.1091178,106.58755,12z/data=!4m10!1m2!2m1!1sNICESO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f700591ed205:0x412be275ce13e6cc!8m2!3d-6.2053522!4d106.7832501!15sChlOSUNFU08gS09UQSBKQUtBUlRBIEJBUkFUkgEFc3RvcmWqAU4QASoKIgZuaWNlc28oADIfEAEiGzEPycSFcwRVZOas2wLsSj-GFRolR0K6vjacfDIdEAIiGW5pY2VzbyBrb3RhIGpha2FydGEgYmFyYXTgAQA!16s%2Fg%2F11wvllzlr8?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Kalideres,NICESO Peta Cengkareng,Store,-6.1091178,106.58755,"Jl. Peta Barat No.97, RT.1/RW.7, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840","https://www.google.com/maps/place/NICESO+Peta+Cengkareng/@-6.1091178,106.58755,12z/data=!4m10!1m2!2m1!1sNICESO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f900278b55b1:0xe004fadca58305d!8m2!3d-6.1431108!4d106.6967736!15sChlOSUNFU08gS09UQSBKQUtBUlRBIEJBUkFUkgEFc3RvcmWqAU4QASoKIgZuaWNlc28oADIfEAEiGzEPycSFcwRVZOas2wLsSj-GFRolR0K6vjacfDIdEAIiGW5pY2VzbyBrb3RhIGpha2FydGEgYmFyYXTgAQA!16s%2Fg%2F11ybt7_7bd?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Kalideres,NICESO KALIDERES,Convenience store,-6.1091178,106.58755,"Jl. Utan Jati No.88 D, RT.7/RW.12, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840","https://www.google.com/maps/place/NICESO+KALIDERES/@-6.1091178,106.58755,12z/data=!4m10!1m2!2m1!1sNICESO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f90066e37d67:0xd2d14a9ca2fc3511!8m2!3d-6.1482667!4d106.7147616!15sChlOSUNFU08gS09UQSBKQUtBUlRBIEJBUkFUkgERY29udmVuaWVuY2Vfc3RvcmWqAU4QASoKIgZuaWNlc28oADIfEAEiGzEPycSFcwRVZOas2wLsSj-GFRolR0K6vjacfDIdEAIiGW5pY2VzbyBrb3RhIGpha2FydGEgYmFyYXTgAQA!16s%2Fg%2F11vt8g2y0c?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Kby Lama,NICESO CIDODOL,Souvenir store,-6.1091178,106.58755,"Jl. Panjang Cidodol No.9-16 5, RT.6/RW.13, Grogol Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12220","https://www.google.com/maps/place/NICESO+CIDODOL/@-6.1091178,106.58755,12z/data=!4m10!1m2!2m1!1sNICESO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f1b8ec3f4837:0x37703982a717aa9d!8m2!3d-6.2299538!4d106.7719821!15sChlOSUNFU08gS09UQSBKQUtBUlRBIEJBUkFUkgEOc291dmVuaXJfc3RvcmWqAU4QASoKIgZuaWNlc28oADIfEAEiGzEPycSFcwRVZOas2wLsSj-GFRolR0K6vjacfDIdEAIiGW5pY2VzbyBrb3RhIGpha2FydGEgYmFyYXTgAQA!16s%2Fg%2F11fjmhhw1r?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Cengkareng,NICESO KOSAMBI,Store,-6.1091178,106.58755,"Jln. Kresek No 4 RT 004 RW 008 Duri Kosambi, Kecamatan Cengkareng, Jakarta Barat, Kec. Kosambi, Kabupaten Tangerang, Banten 11750","https://www.google.com/maps/place/NICESO+KOSAMBI/@-6.1091178,106.58755,12z/data=!4m10!1m2!2m1!1sNICESO+KOTA+JAKARTA+BARAT!3m6!1s0x2e4207004f40d86d:0xc256d04df37f915d!8m2!3d-6.178674!4d106.7168891!15sChlOSUNFU08gS09UQSBKQUtBUlRBIEJBUkFUkgEFc3RvcmWqAU4QASoKIgZuaWNlc28oADIfEAEiGzEPycSFcwRVZOas2wLsSj-GFRolR0K6vjacfDIdEAIiGW5pY2VzbyBrb3RhIGpha2FydGEgYmFyYXTgAQA!16s%2Fg%2F11y38hcsmw?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Ciracas,Niceso Cibubur,Shopping mall,-6.3483545,106.7238054,"No.52RT, Daerah Khusu IbuJl, Jl. Lap. Tembak No.3, RW.2, Cibubur, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13720","https://www.google.com/maps/place/Niceso+Cibubur/@-6.3483545,106.7238054,12z/data=!4m10!1m2!2m1!1sNICESO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69ed398c6b64b5:0x9408b44102fd29ed!8m2!3d-6.3483545!4d106.8762407!15sChlOSUNFU08gS09UQSBKQUtBUlRBIEJBUkFUkgEPc2hvcHBpbmdfY2VudGVyqgFOEAEqCiIGbmljZXNvKAAyHxABIhsxD8nEhXMEVWTmrNsC7Eo_hhUaJUdCur42nHwyHRACIhluaWNlc28ga290YSBqYWthcnRhIGJhcmF04AEA!16s%2Fg%2F11t522m98w?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
